demand_id,buyer_id,buyer_type,buyer_name,commodity,required_quantity_quintal,required_quality,max_moisture_percent,offered_price_rs_per_quintal,payment_terms,delivery_location,requirement_window_days,verification_status,data_status
D0001,B0036,Wholesale,Jaipur Wholesale Buyer 14,Mustard,100,FAQ,6.8,5770,Immediate UPI/RTGS,Jaipur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0002,B0051,Institutional,Alwar Institutional Buyer 70,Maize,25,Grade A,11.7,2610,30% advance + balance on delivery,Alwar,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0003,B0056,Institutional,Chittorgarh Institutional Buyer 44,Bajra,150,FAQ,9.3,2290,Immediate UPI/RTGS,Chittorgarh,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0004,B0032,Processor,Barmer Processor Buyer 49,Gram,500,FAQ,8.7,6170,Payment after quality acceptance,Barmer,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0005,B0198,Processor,Chittorgarh Processor Buyer 38,Maize,1500,FAQ,13.6,2190,Immediate UPI/RTGS,Chittorgarh,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0006,B0091,Retail Chain,Bhilwara Retail Chain Buyer 27,Tomato,75,B,89.1,2690,Payment after quality acceptance,Bhilwara,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0007,B0098,Wholesale,Jodhpur Wholesale Buyer 35,Bajra,75,FAQ,11.1,2690,Immediate UPI/RTGS,Jodhpur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0008,B0146,FPO,Sri Ganganagar FPO Buyer 41,Onion,100,Small,74.0,3530,T+7 days,Sri Ganganagar,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0009,B0068,Processor,Bharatpur Processor Buyer 75,Bajra,2000,Clean,11.7,2780,T+7 days,Bharatpur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0010,B0040,Institutional,Jodhpur Institutional Buyer 21,Bajra,25,Clean,10.8,2240,T+7 days,Jodhpur,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0011,B0175,Retail Chain,Jodhpur Retail Chain Buyer 69,Gram,25,Grade A,9.3,5090,T+3 days,Jodhpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0012,B0185,Institutional,Ajmer Institutional Buyer 34,Garlic,2000,Export,69.3,13960,30% advance + balance on delivery,Ajmer,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0013,B0200,FPO,Ajmer FPO Buyer 68,Maize,75,FAQ,12.8,2590,T+7 days,Ajmer,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0014,B0015,Exporter,Hanumangarh Exporter Buyer 31,Onion,150,Large,74.8,1810,Immediate UPI/RTGS,Hanumangarh,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0015,B0169,Wholesale,Barmer Wholesale Buyer 61,Mustard,75,FAQ,5.8,5520,30% advance + balance on delivery,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0016,B0113,FPO,Chittorgarh FPO Buyer 67,Maize,1500,Grade A,11.4,2370,T+1 day,Chittorgarh,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0017,B0002,Wholesale,Udaipur Wholesale Buyer 10,Wheat,1000,FAQ,9.7,2480,Immediate UPI/RTGS,Udaipur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0018,B0055,Processor,Jodhpur Processor Buyer 70,Mustard,1500,FAQ,7.2,6440,30% advance + balance on delivery,Jodhpur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0019,B0025,Institutional,Barmer Institutional Buyer 13,Maize,300,Grade A,12.1,2140,T+7 days,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0020,B0064,Institutional,Jaipur Institutional Buyer 25,Mustard,200,FAQ,6.6,5470,T+1 day,Jaipur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0021,B0207,Processor,Bikaner Processor Buyer 71,Gram,50,FAQ,7.2,5930,30% advance + balance on delivery,Bikaner,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0022,B0105,Wholesale,Hanumangarh Wholesale Buyer 63,Mustard,100,Bold Seed,5.6,5620,T+7 days,Hanumangarh,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0023,B0201,Exporter,Jaipur Exporter Buyer 59,Garlic,150,Large,68.3,14480,Payment after quality acceptance,Jaipur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
