warehouse_id,commodity,storage_charge_rs_per_mt_per_month,handling_charge_rs_per_mt,insurance_optional_rs_per_mt_month,effective_year,data_status
W001,Tomato,88,25,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W001,Maize,90,66,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W001,Garlic,100,71,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W002,Maize,193,30,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W002,Onion,195,37,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W002,Wheat,128,65,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W003,Wheat,121,40,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W003,Maize,126,62,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W003,Tomato,59,80,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W004,Wheat,130,44,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W004,Mustard,80,36,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W004,Garlic,74,51,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W005,Tomato,80,60,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W005,Bajra,121,74,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W005,Mustard,55,47,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W006,Tomato,163,65,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W006,Gram,119,46,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W006,Garlic,207,60,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W007,Maize,116,53,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W007,Onion,93,73,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W007,Bajra,92,62,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W008,Tomato,105,58,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W008,Garlic,124,50,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W008,Onion,67,34,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W009,Gram,96,35,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W009,Maize,69,31,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W009,Garlic,95,62,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W010,Onion,142,69,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W010,Tomato,235,58,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W010,Maize,170,21,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W011,Gram,107,23,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W011,Tomato,96,36,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W011,Mustard,107,45,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W012,Garlic,61,37,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W012,Maize,83,41,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W012,Bajra,60,39,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W013,Garlic,76,54,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W013,Mustard,135,27,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W013,Gram,133,41,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W014,Wheat,207,25,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W014,Onion,200,69,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W014,Tomato,126,61,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W015,Maize,80,30,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W015,Bajra,105,75,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W015,Gram,92,71,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W016,Onion,82,55,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W016,Bajra,56,22,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W016,Maize,122,26,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W017,Garlic,60,30,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W017,Tomato,93,21,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W017,Maize,135,69,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W018,Wheat,141,72,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W018,Bajra,212,28,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W018,Onion,131,24,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W019,Garlic,124,58,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W019,Wheat,67,67,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W019,Tomato,105,32,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W020,Gram,218,52,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W020,Garlic,187,37,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W020,Bajra,161,26,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W021,Tomato,219,25,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W021,Maize,214,55,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W021,Bajra,233,38,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W022,Maize,118,66,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W022,Tomato,102,68,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W022,Wheat,68,48,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W023,Wheat,112,43,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W023,Maize,127,26,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W023,Mustard,94,41,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W024,Mustard,76,33,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W024,Wheat,130,35,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W024,Gram,73,45,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W025,Tomato,169,23,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W025,Gram,174,46,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W025,Onion,196,73,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W026,Wheat,214,75,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W026,Bajra,178,64,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W026,Onion,235,54,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W027,Onion,96,49,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W027,Tomato,120,55,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W027,Mustard,68,47,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W028,Garlic,75,53,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W028,Mustard,76,32,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W028,Wheat,69,22,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W029,Tomato,122,51,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W029,Mustard,125,46,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W029,Onion,56,38,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W030,Garlic,89,53,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W030,Bajra,133,76,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W030,Onion,127,61,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W031,Bajra,81,71,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W031,Tomato,102,53,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W031,Gram,87,50,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W032,Maize,144,30,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W032,Bajra,231,20,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W032,Onion,216,31,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W033,Tomato,94,64,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W033,Wheat,80,64,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W033,Garlic,123,49,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W034,Mustard,114,58,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W034,Wheat,63,42,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W034,Gram,126,76,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W035,Onion,79,37,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W035,Tomato,109,57,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W035,Wheat,102,59,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W036,Gram,161,24,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W036,Tomato,149,26,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W036,Garlic,181,31,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W037,Mustard,130,61,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W037,Tomato,97,56,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W037,Gram,132,37,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W038,Tomato,55,70,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W038,Mustard,82,25,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W038,Garlic,73,29,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W039,Tomato,96,24,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W039,Garlic,72,52,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W039,Wheat,109,62,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W040,Onion,70,35,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W040,Bajra,105,44,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W040,Gram,115,42,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W041,Onion,132,73,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W041,Gram,76,80,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W041,Wheat,90,65,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W042,Garlic,117,64,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W042,Gram,70,55,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W042,Maize,138,42,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W043,Wheat,229,69,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W043,Garlic,218,33,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W043,Bajra,158,44,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W044,Bajra,80,48,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W044,Onion,122,32,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W044,Wheat,130,39,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W045,Mustard,238,78,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W045,Bajra,179,22,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W045,Garlic,180,61,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W046,Garlic,174,37,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W046,Wheat,124,56,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W046,Onion,230,58,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W047,Tomato,115,67,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W047,Maize,124,71,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W047,Mustard,59,43,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W048,Bajra,77,75,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W048,Onion,65,46,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W048,Garlic,62,48,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W049,Wheat,124,37,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W049,Bajra,138,59,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W049,Tomato,97,73,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W050,Bajra,101,53,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W050,Gram,140,45,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W050,Onion,140,62,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W051,Mustard,73,66,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W051,Tomato,65,31,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W051,Gram,60,37,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W052,Maize,214,31,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W052,Onion,110,39,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W052,Gram,199,27,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W053,Tomato,66,56,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W053,Gram,66,27,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W053,Onion,78,66,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
