date,state,district,mandi,crop,variety,grade,min_price,max_price,modal_price,arrivals_tonnes,temperature_c,rainfall_mm,humidity_pct,demand_score,msp,month,day_of_week
2021-01-01,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1899.67,2052.17,1972.29,37.5,13.8,0.0,42.0,98.2,1975,1,Friday
2021-01-02,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1940.27,2073.09,2003.52,61.5,13.2,0.0,38.1,104.9,1975,1,Saturday
2021-01-03,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1947.11,2058.16,1999.99,37.8,13.2,0.0,33.8,102.3,1975,1,Sunday
2021-01-04,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1929.49,2081.81,2002.02,53.4,12.5,0.0,37.0,99.5,1975,1,Monday
2021-01-05,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1906.42,2073.54,1986.0,47.2,18.8,0.0,35.1,99.5,1975,1,Tuesday
2021-01-06,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1886.78,2071.58,1974.78,47.0,14.9,0.0,37.2,95.8,1975,1,Wednesday
2021-01-07,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1892.78,2036.4,1961.17,48.2,10.9,0.0,41.2,92.9,1975,1,Thursday
2021-01-08,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1919.58,2030.64,1972.47,38.6,12.3,0.0,36.2,104.2,1975,1,Friday
2021-01-09,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1868.22,2032.08,1946.25,46.4,14.4,0.0,30.2,95.0,1975,1,Saturday
2021-01-10,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1877.99,2063.72,1966.43,,12.2,8.0,35.6,89.7,1975,1,Sunday
2021-01-11,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1855.13,2037.64,1942.04,47.9,12.8,0.0,38.8,92.1,1975,1,Monday
2021-01-12,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1874.39,2006.06,1937.09,45.1,14.6,0.0,38.2,94.4,1975,1,Tuesday
2021-01-13,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1885.79,1995.43,1938.0,37.5,15.7,0.0,41.9,92.7,1975,1,Wednesday
2021-01-14,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1843.27,2006.48,1920.99,56.3,16.2,0.0,38.6,96.1,1975,1,Thursday
2021-01-15,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1830.45,1992.32,1907.53,50.9,17.4,0.0,37.7,103.3,1975,1,Friday
2021-01-16,Rajasthan,Alwar,Alwar,Wheat,Dara,Average,1863.92,2010.0,1933.48,67.0,15.0,0.0,40.6,103.1,1975,1,Saturday
