model,feature_set,n_features,horizon,fit_seconds,n,MAE,RMSE,MAPE,sMAPE
hist_gbr,raw,26,1d,3.1,11680,16.452,21.941,0.665,0.6666
hist_gbr,raw,26,3d,1.4,11616,26.076,33.618,1.0499,1.0555
hist_gbr,raw,26,7d,1.9,11488,39.104,49.486,1.5639,1.5792
hist_gbr,lags,54,1d,3.1,11680,15.304,20.438,0.6202,0.6209
hist_gbr,lags,54,3d,2.6,11616,23.586,30.795,0.9499,0.9531
hist_gbr,lags,54,7d,2.7,11488,34.534,44.124,1.3844,1.394
hist_gbr,rolling,82,1d,3.1,11680,15.185,20.172,0.6156,0.6163
hist_gbr,rolling,82,3d,3.6,11616,23.488,30.489,0.9485,0.9517
hist_gbr,rolling,82,7d,3.3,11488,34.211,43.64,1.3754,1.384
hist_gbr,full,106,1d,4.1,11680,14.73,19.702,0.5956,0.5961
hist_gbr,full,106,3d,3.9,11616,22.288,29.318,0.899,0.9007
hist_gbr,full,106,7d,3.8,11488,30.835,39.992,1.2393,1.2436
xgboost,raw,26,1d,2.4,11680,17.205,22.054,0.6925,0.6946
xgboost,raw,26,3d,1.3,11616,29.603,37.807,1.1854,1.1935
xgboost,raw,26,7d,1.2,11488,47.533,59.462,1.8943,1.9182
xgboost,lags,54,1d,2.9,11680,15.377,19.82,0.6204,0.6214
xgboost,lags,54,3d,3.0,11616,25.125,32.738,1.0084,1.0127
xgboost,lags,54,7d,3.1,11488,38.695,49.176,1.5482,1.5626
xgboost,rolling,82,1d,4.5,11680,15.131,19.527,0.61,0.6106
xgboost,rolling,82,3d,4.9,11616,24.043,31.313,0.968,0.9714
xgboost,rolling,82,7d,5.2,11488,36.098,46.089,1.4478,1.4585
xgboost,full,106,1d,6.9,11680,14.944,19.545,0.6015,0.6024
xgboost,full,106,3d,7.1,11616,22.873,29.892,0.9218,0.9238
xgboost,full,106,7d,7.8,11488,31.74,41.075,1.2779,1.2827
lightgbm,raw,26,1d,1.2,11680,16.644,21.903,0.672,0.6737
lightgbm,raw,26,3d,1.3,11616,26.971,34.702,1.0832,1.0893
lightgbm,raw,26,7d,1.5,11488,41.964,52.913,1.6777,1.6957
lightgbm,lags,54,1d,2.0,11680,15.423,20.426,0.6242,0.6249
lightgbm,lags,54,3d,1.9,11616,23.785,31.035,0.9578,0.961
lightgbm,lags,54,7d,2.0,11488,35.758,45.656,1.4342,1.4451
lightgbm,rolling,82,1d,2.4,11680,15.135,20.07,0.6137,0.614
lightgbm,rolling,82,3d,2.1,11616,23.395,30.443,0.9437,0.9465
lightgbm,rolling,82,7d,2.6,11488,34.666,44.192,1.3931,1.4024
lightgbm,full,106,1d,3.9,11680,14.879,19.955,0.6019,0.6023
lightgbm,full,106,3d,4.3,11616,21.997,28.774,0.8877,0.889
lightgbm,full,106,7d,3.2,11488,31.253,40.494,1.2557,1.2607
