experiment_id,recorded_at,model,horizon,split,n,MAE,RMSE,MAPE,sMAPE,train_period,validation_period,test_period,n_features,hyperparameters,notes
exp_001_baselines,2026-08-26T01:36:59+00:00,naive,1d,valid,11680,15.407,21.28,0.6221,0.6228,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,naive,1d,test,11648,17.658,23.978,0.6594,0.6601,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,rolling_mean_7,1d,valid,11680,23.379,32.006,0.9554,0.9579,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,rolling_mean_7,1d,test,11648,25.83,34.963,0.9741,0.9764,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,rolling_mean_28,1d,valid,11680,51.843,67.788,2.1535,2.1628,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,rolling_mean_28,1d,test,11648,55.407,71.733,2.1208,2.1292,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,drift_7d,1d,valid,11680,16.588,22.696,0.6707,0.6713,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,drift_7d,1d,test,11648,19.047,25.589,0.7119,0.7124,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,naive,3d,valid,11616,23.676,32.76,0.9622,0.9647,2021-01-01..2023-12-28,2024-01-01..2024-12-28,2025-01-01..2025-12-28,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,naive,3d,test,11584,26.658,36.56,0.9998,1.0022,2021-01-01..2023-12-28,2024-01-01..2024-12-28,2025-01-01..2025-12-28,0,{},no training required
exp_001_baselines,2026-08-26T01:36:59+00:00,rolling_mean_7,3d,valid,11616,30.788,41.919,1.2627,1.2672,2021-01-01..2023-12-28,2024-01-01..2024-12-28,2025-01-01..2025-12-28,0,{},no training required
